ID;FLAG_INTRUSO_DETECTADO;FLAG_IP_EXTRANJERA;MINUTOS_CONEXION;N_CONEXION_U3M
1;0;1;13;11
2;0;0;14;9
3;0;0;10;13
4;0;0;9;7
5;0;0;10;11
6;1;1;10;3
7;0;0;12;5
8;0;0;14;18
9;0;0;10;14
10;0;0;14;1
11;0;0;8;13
12;0;1;9;16
13;0;1;7;11
14;0;0;15;15
15;0;0;10;12
16;1;0;10;18
17;0;1;15;16
18;0;0;12;19
19;0;1;13;3
20;0;0;15;12
21;1;1;12;9
22;0;1;8;18
23;0;0;12;7
24;0;0;10;5
25;0;0;12;13
26;1;1;10;19
27;0;1;7;9
28;0;0;8;6
29;0;1;14;20
30;1;1;14;0
31;1;1;9;7
32;0;1;8;17
33;0;0;8;8
34;0;0;12;14
35;1;1;13;4
36;1;0;12;16
37;1;0;13;6
38;1;0;8;9
39;1;1;11;20
40;0;0;7;15
41;1;1;11;3
42;0;0;7;13
43;1;1;8;13
44;0;1;13;13
45;0;0;10;17
46;1;1;9;14
47;1;1;9;3
48;0;0;11;15
49;1;1;11;11
50;0;0;7;1
51;1;0;12;12
52;0;1;12;3
53;1;0;9;5
54;0;0;12;5
55;0;0;8;2
56;0;0;12;2
57;0;1;11;12
58;0;0;12;5
59;0;0;12;15
60;0;1;9;4
61;0;1;15;15
62;1;0;13;8
63;1;1;8;18
64;0;0;15;13
65;0;1;10;6
66;0;0;14;3
67;0;0;15;11
68;1;1;7;13
69;1;1;7;11
70;1;0;12;6
71;0;0;13;12
72;0;0;15;2
73;0;0;9;10
74;0;0;12;11
75;0;0;15;18
76;0;0;8;14
77;0;0;14;11
78;1;1;12;1
79;0;1;8;5
80;0;0;11;9
81;1;1;10;11
82;0;1;13;18
83;0;1;12;11
84;0;0;10;15
85;0;1;15;12
86;0;0;12;10
87;0;0;10;6
88;1;1;8;10
89;0;0;7;13
90;1;1;11;2
91;0;0;11;13
92;1;0;8;15
93;0;0;10;12
94;0;0;14;6
95;0;0;11;12
96;0;0;8;8
97;0;1;11;18
98;1;0;7;10
99;1;1;8;12
100;0;0;8;15
101;0;1;13;11
102;0;0;14;9
103;0;0;10;13
104;0;0;9;7
105;0;0;10;11
106;1;1;10;3
107;0;0;12;5
108;0;0;14;18
109;0;0;10;14
110;0;0;14;1
111;0;0;8;13
112;0;1;9;16
113;0;1;7;11
114;0;0;15;15
115;0;0;10;12
116;1;0;10;18
117;0;1;15;16
118;0;0;12;19
119;0;1;13;3
120;0;0;15;12
121;1;1;12;9
122;0;1;8;18
123;0;0;12;7
124;0;0;10;5
125;0;0;12;13
126;1;1;10;19
127;0;1;7;9
128;0;0;8;6
129;0;1;14;20
130;1;1;14;0
131;1;1;9;7
132;0;1;8;17
133;0;0;8;8
134;0;0;12;14
135;1;1;13;4
136;1;0;12;16
137;1;0;13;6
138;1;0;8;9
139;1;1;11;20
140;0;0;7;15
141;1;1;11;3
142;0;0;7;13
143;1;1;8;13
144;0;1;13;13
145;0;0;10;17
146;1;1;9;14
147;1;1;9;3
148;0;0;11;15
149;1;1;11;11
150;0;0;7;1
151;1;0;12;12
152;0;1;12;3
153;1;0;9;5
154;0;0;12;5
155;0;0;8;2
156;0;0;12;2
157;0;1;11;12
158;0;0;12;5
159;0;0;12;15
160;0;1;9;4
161;0;1;15;15
162;1;0;13;8
163;1;1;8;18
164;0;0;15;13
165;0;1;10;6
166;0;0;14;3
167;0;0;15;11
168;1;1;7;13
169;1;1;7;11
170;1;0;12;6
171;0;0;13;12
172;0;0;15;2
173;0;0;9;10
174;0;0;12;11
